Header,Count
report status ,398
discharge summary name ,40
unit number ,100
admission date ,335
discharge date ,333
principal diagnosis ,160
associated diagnosis ,79
history of present illness ,235
past medical history ,206
medications on admission ,104
allergies ,153
family history ,67
social history ,116
physical examination ,225
bloodpressure ,1
"head , eyes , ears , nose and throat ",3
cardiac ,21
laboratory data ,126
hospital course and treatment ,43
tr ,175
dd ,175
td ,175
pcc ,9
other diagnosis ,1
medications ,61
habits ,15
vital signs ,27
heent ,36
neck ,24
lungs ,29
cardiovascular ,12
abdomen ,56
extremities ,71
diagnostic studies ,3
hospital course ,208
disposition ,109
discharge medications ,123
dictated by ,77
attending ,131
batch ,90
d ,105
t ,104
cc ,198
associated diagnoses ,30
active principal procedure ,1
other procedures ,12
history and reason for hospitalization ,17
pmh / psh ,1
admission labs ,2
hct ,2
wbc ,1
plt ,1
cre ,1
k ,1
na ,1
bun ,1
ptt ,2
pt ,1
pt-inr ,2
ua-wbc ,1
ua-nit ,1
uas-wbc ,1
admission chest xray ,1
admission electrocardiogram ,1
right bundle branch blockallergies ,1
review of systems ,36
blood pressure ,1
pulse ,3
sinus rhythm teeth ,1
no jugular venous distention cardiovascular ,1
pulmonary ,2
clear skin ,1
cyanosis or edema abdomen ,1
rectal ,13
heme negative brown stool neuro ,1
carotid ,2
brachial ,2
radial ,2
ulnar ,2
femoral ,4
popiteal ,2
posterior tibialis ,2
dorsalis pedis ,2
none appreciated carotid ,1
transmitted hospital course ,1
medications on discharge ,96
captopril 12.5 mg po tid alprazolam ( xanax ) 1 mg po bid ipratropium inhaler ( atrovent inhaler ) 2 puff inh qid vancomycin hcl 750 mg iv q12h senna tablets 2 tab po bid warfarin sodium ( coumadin ) 5 mg po qd oxycodone 5 mg / acetaminophen 325 mg 1-2 tab po q6-8 h prn pain d / c order instructions ,1
diet ,49
activity ,33
treatments ,2
via picc line instructions ,1
follow up ,15
discharge labs ,3
condition on discharge ,76
stable disposition ,1
date ,2
reason for admission ,4
admission medications ,6
electrocardiogram ,4
assessment and plan ,3
captopril 25 mg. p.o. q.i.d. digoxin 0.125 mg. p.o. q.d. lasix 80 mg. p.o. q.d. isordil 20 mg. p.o. at 8:00 a.m. and 1,1
coumadin 5 mg. p.o. q.h.s. axid 150 mg. p.o. b.i.d. nitro paste 2 in chestopical from bedtime until 8,1
past surgical history ,61
report ,30
dicatated by ,26
diagnosis ,31
laboratory examination ,10
on admission were noted to be as follows ,1
operations ,2
name ,60
special procedures and operations ,28
ethanol ,1
cardiovascular exam ,20
doctors discharge orders ,15
dictating for ,77
principal procedure ,72
admission diagnosis ,13
identifying data ,2
cardiac risk factors ,4
skin ,17
note ,4
"on the night prior to admission he was awakened from sleep with severe substernal chest pain radiating to the left arm , accompanied by back pain at about 9",1
discharge diagnoses ,7
procedures ,6
complications ,13
estimated disability ,2
physical examination on admission ,9
laboratory data on admission ,7
arterial blood gases ,1
chest x-ray ,4
her time of death was 1,1
problems ,1
surgical history ,2
medications at home ,3
postoperative course by systems is as follows ,1
1. neuro ,2
2. cardiovascular ,5
3. pulmonary ,1
4. gi ,2
5. gu ,1
6. infectious disease ,2
7. heme ,1
8. endocrine ,1
escription document ,14
secondary diagnosis ,7
identification data ,2
hypercalcemia ,1
ivc obstruction ,1
hypoxia and shortness of breath ,1
impending spinal cord compression ,1
medications on transfer ,6
cor ,3
neurological examination ,4
cardiac catheterization showed procedure done 09/08/94 ,1
rv gram ,1
follow-up care ,3
problem list ,2
heart ,23
neurological ,13
laboratory ,9
follow-up ,13
laboratory and radiologic data ,3
1. endocrine ,1
2. neurological ,1
3. cardiovascular ,2
4. pulmonary ,1
5. gastrointestinal ,2
6. renal ,1
7. infectious disease ,1
discharge instructions ,17
discharge diagnosis ,37
current medications ,6
breasts ,5
back ,5
principle diagnosis ,6
procedure ,3
general ,17
identification ,1
"in september 2004 , the patient converted to aml with philadelphia chromosome 9",1
gi ,3
neuro ,9
access ,1
admission studies ,1
hospitalization course ,2
the remainder of the dictation will be divided by system ,1
1. oncology ,1
2. id / pulmonary ,1
3. hematology ,1
4. cardiovascular ,1
5. musculoskeletal ,1
6. psych ,1
final diagnoses ,2
discharge plan ,2
outpatient followup ,1
chief complaint ,21
medications on admit ,2
she was taken to the operating room at approximately 2,1
chest ,13
kub ,2
ekg ,5
acc ,7
other problems ,3
rheumatoid arthritis ,1
language ,1
cranial nerves ,3
power ,2
sensory examination ,2
acuity ,1
tobacco history ,1
head examination ,1
lower extremities ,1
doctor 's discharge orders ,10
plan for followup ,1
labs on admission ,2
hospital course by system ,5
1. respiratory ,1
3. comfort ,1
the patient died on 09/25/2004 at 12,1
history of the present illness ,3
the patient states that the pain began at 10,1
heart exam ,1
neurologic exam ,4
cranial nerve exam ,1
viith cranial nerve ,1
motor exam ,1
cerebellar exam ,2
she was well at home until 8,1
adverse drug reactions ,16
clinical infections ,10
discharge orders ,6
follow-up instructions ,1
"electronically signed aka g lung , m.d. 09/21/2002 16",1
associated procedures ,15
"aka g state , m.d. cardiac transplant stemstrictalle medical center electronically signed aka g state , m.d. 11/17/2000 12",1
"_____________________ aka g fraction , m.d. electronically signed aka g fraction , m.d. 06/24/2000 19",1
disposition / plan on discharge ,5
associated procedure ,2
"head , eyes , ears , nose and throat exam ",2
extremity exam ,1
laboratory and radiologic data ( admission ) ,1
summary ,4
1. neurologically ,1
followup ,15
instructions ,25
principal diagnoses ,4
secondary diagnoses ,6
1 ) cardiovascular ,1
2 ) neurological / vascular ,1
3 ) orthopedic ,1
4 ) gastrointestinal ,1
5 ) infectious disease ,1
"6 ) fluids , electrolytes and nutrition ",1
the patient is to follow up with dr. quown at santusli hospital on the 21st of october 1999 at 10,1
medications prior to admission ,1
"in conclusion , by systems ",1
condition ,7
service ,50
admission principal diagnosis ,1
significant problems ,4
complications during this admission ,1
physical exam ,3
disposition on discharge ,1
"at this point , a diagnosis of lupus was considered and her ana was 1",1
1 ) bronchiolitis obliterans organizing pneumonia ,1
2 ) thrombotic thrombocytopenic purpura ,1
3 ) renal ,1
4 ) infectious disease ,1
5 ) rheumatology ,1
the patient was admitted with a question of lupus given her ana of 1,1
gait ,1
the patient 's past medical history is significant for ,1
8. social history ,1
history of present illness / reason for hospitalization ,1
"head , eyes , ears , nose and throat examination ",1
cardiovascular examination ,1
data ,1
plan ,2
2. renal ,2
3. gi ,2
4. thyroid mass ,1
his condition is stable and he was discharged with the following medications ,1
"on postoperative day #1 did complain of a little nausea and vomiting , however , on postop day #2 patient was found unresponsive at 7",1
since the patient had decided to be do not resuscitate no resuscitation efforts were undertaken and patient was pronounced dead on 11-9-90 at 5,1
date of birth ,4
complete blood count ,1
differential ,1
urinalysis ,2
transcranial dopplers ,1
holter electrocardiogram ,1
electroencephalogram ,1
visual field testing ,1
ther procedures ,1
"he was later sitting in a chair making multiple attempts to get up , which he subsequently did and promptly fell directly on his face at approximately 11",1
summary of laboratory and radiological examinations ,1
1) neurology ,1
2) cardiovascular ,1
3) pulmonary ,1
4) hematology ,1
5) gastrointestinal ,1
patient 's past medical history is to besummarized as follows ,1
operations / procedures ,4
other diagnoses ,5
abdominal examination ,1
rectal examination ,1
skin examination ,1
follow up care ,1
"miss siehjesc is an 85-year-old woman with a past medical history significant for parkinson 's disease of ten years duration , supraventricular tachycardia , and a history of colon carcinoma , who was in her usual state of health until 11",1
"while the pain was initially intermittent , it became steady at about 1",1
thorax ,1
radiology ,1
doctor ' s discharge orders ,2
present illness ,2
he was hospitalized from 6-12-91 to 7-9-91 with a prolonged course notable for ,1
neurologic ,7
discharge disposition ,3
"the head , eyes , ears , nose , throat exam ",1
the neurological examination ,1
history and reason for admission ,2
"head , eyes , ears , nose , throat ",3
cardiac examination ,1
carotids ,2
status at discharge ,1
